Cornerstone Wavelength  (nm),uW output
350,2.2
360,2.4
370,2.7
380,2.9
390,3.1
400,3.3
410,3.7
420,3.8
430,3.9
440,4.1
450,4.4
460,4.6
470,5.4
480,4.5
490,4.2
500,3.9
510,3.8
520,3.7
530,3.7
540,3.6
550,3.5
560,3.3
570,3.2
580,3.1
590,3.0
600,2.8
610,2.8
620,2.8
630,2.6
640,2.4
650,2.4
660,2.2
670,2.3
680,2.2
690,2.1
700,1.8
710,1.8
720,1.7
730,1.7
740,1.7
750,1.6
760,1.7
770,1.6
780,1.3
790,1.2
800,1.1
810,1.1
820,3.9
830,4.7
840,2.0
850,0.8
860,0.8
870,1.3
880,6.8
890,3.9
900,4.2
