Emission (nanometer),water Blank,EuC CPS,DyF2 CPS,DyF3 CPS,Sm F4 CPS,Tm F5 CPS,,
400,70,150,110,80,70,70,,
401,80,90,50,70,70,100,,
402,40,120,50,50,50,100,,
403,70,150,20,40,100,100,,
404,20,110,60,10,110,50,,
405,20,40,60,20,60,110,,
406,40,60,40,110,40,40,,
407,70,60,60,20,70,50,,
408,0,100,40,50,40,100,,
409,10,90,60,20,40,60,,
410,10,100,60,100,60,90,,
411,70,40,50,60,80,40,,
412,110,110,50,50,100,40,,
413,20,90,50,60,60,90,,
414,0,50,120,40,50,110,,
415,70,50,40,40,20,60,,
416,70,150,40,60,50,110,,
417,50,170,60,60,150,80,,
418,20,60,70,40,50,90,,
419,40,100,70,40,70,110,,
420,60,100,10,110,20,90,,
421,20,70,60,50,80,50,,
422,20,60,40,60,90,120,,
423,10,80,40,60,0,40,,
424,70,90,50,40,50,110,,
425,0,80,50,70,40,50,,
426,20,90,90,40,70,60,,
427,70,80,20,60,10,110,,
428,20,90,90,50,110,60,,
429,50,90,80,10,10,70,,
430,20,140,50,10,50,60,,
431,40,100,70,110,70,60,,
432,50,60,60,40,90,110,,
433,70,60,70,60,40,80,,
434,20,80,10,60,40,110,,
435,40,140,60,50,40,100,,
436,50,60,110,110,110,110,,
437,70,50,50,50,110,40,,
438,20,150,50,50,40,150,,
439,70,110,100,60,90,80,,
440,20,90,60,80,90,110,,
441,20,150,110,70,150,110,,
442,40,50,40,120,50,90,,
443,20,160,40,50,80,80,,
444,50,90,80,90,60,120,,
445,20,100,50,110,80,50,,
446,60,60,50,50,60,150,,
447,50,140,70,50,50,110,,
448,40,100,50,40,20,80,,
449,20,60,80,120,100,190,,
450,10,60,40,40,70,100,,
451,20,160,90,150,80,40,,
452,40,100,60,90,60,110,,
453,20,150,100,190,110,80,,
454,50,80,100,130,60,110,,
455,20,110,100,80,50,110,,
456,120,110,120,120,60,110,,
457,50,50,80,90,110,80,,
458,60,110,100,80,60,100,,
459,20,100,50,80,50,110,,
460,10,90,110,60,110,110,,
461,40,140,110,110,80,110,,
462,110,120,40,110,110,90,,
463,110,80,60,40,60,50,,
464,20,150,60,50,90,100,,
465,20,40,110,80,70,150,,
466,80,90,150,40,110,130,,
467,110,80,100,120,150,270,,
468,90,60,50,80,80,280,,
469,20,90,230,120,50,480,,
470,20,60,180,170,80,520,,
471,110,110,200,280,70,690,,
472,50,70,510,480,40,810,,
473,70,80,1290,1480,110,1290,,
474,60,90,1950,2030,90,1510,,
475,60,40,1040,1180,60,1760,,
476,60,150,1130,1200,40,1550,,
477,40,50,1530,1930,90,1290,,
478,110,90,1590,1650,50,850,,
479,40,40,1870,2190,40,600,,
480,70,90,2520,2910,70,620,,
481,0,50,3200,3210,50,550,,
482,60,90,2630,3270,40,320,,
483,50,120,3190,3800,20,290,,
484,20,60,3800,4130,50,180,,
485,50,90,2360,2790,50,150,,
486,40,100,1220,1170,90,150,,
487,80,100,690,870,70,200,,
488,50,90,660,790,60,120,,
489,40,60,370,360,60,40,,
490,20,80,340,330,50,50,,
491,40,190,310,200,110,40,,
492,50,110,250,170,100,90,,
493,10,110,140,250,80,40,,
494,110,40,180,80,40,110,,
495,10,100,120,80,80,80,,
496,20,70,100,80,80,50,,
497,40,60,90,100,60,50,,
498,60,50,90,80,70,130,,
499,20,70,100,90,60,150,,
500,10,80,150,130,90,110,,
501,20,110,60,150,40,90,,
502,60,150,60,110,80,100,,
503,90,70,150,50,80,90,,
504,50,100,70,140,80,70,,
505,10,50,110,90,90,60,,
506,50,130,100,110,60,60,,
507,60,40,70,80,50,40,,
508,10,60,50,110,60,50,,
509,40,50,100,80,110,110,,
510,40,100,10,50,60,120,,
511,60,90,50,80,110,100,,
512,70,60,80,80,90,80,,
513,70,50,70,60,40,80,,
514,20,90,40,50,70,110,,
515,70,100,50,40,60,110,,
516,20,110,60,20,60,90,,
517,40,90,50,90,50,50,,
518,50,110,50,60,50,50,,
519,40,40,40,80,10,150,,
520,50,40,80,60,130,40,,
521,20,50,50,80,50,40,,
522,50,60,50,50,60,110,,
523,110,110,60,50,60,110,,
524,60,150,100,20,50,50,,
525,0,80,60,70,100,110,,
526,10,40,110,60,50,50,,
527,50,110,150,150,90,140,,
528,110,70,50,60,110,90,,
529,60,40,50,90,50,80,,
530,70,90,50,60,60,70,,
531,70,90,60,80,150,110,,
532,40,150,110,90,110,110,,
533,50,80,70,100,70,50,,
534,70,190,10,80,60,60,,
535,70,180,60,80,40,60,,
536,50,220,110,110,60,60,,
537,20,580,110,50,40,110,,
538,50,860,130,80,40,60,,
539,40,390,70,150,50,60,,
540,50,140,90,60,20,80,,
541,10,80,70,100,50,100,,
542,110,90,20,80,60,20,,
543,40,80,70,90,80,110,,
544,10,90,20,60,20,40,,
545,80,150,70,60,20,40,,
546,40,70,70,40,50,110,,
547,50,90,10,80,80,20,,
548,70,40,70,40,90,40,,
549,80,110,60,100,70,60,,
550,40,130,50,90,110,40,,
551,50,70,40,50,110,80,,
552,70,80,50,20,60,50,,
553,40,100,110,70,20,40,,
554,60,60,50,50,40,70,,
555,60,170,80,50,100,50,,
556,40,130,100,60,130,50,,
557,40,60,110,110,130,60,,
558,0,90,170,100,200,110,,
559,60,120,80,80,190,60,,
560,50,80,60,190,350,60,,
561,20,160,160,90,340,60,,
562,50,190,120,210,520,40,,
563,60,140,140,230,510,20,,
564,40,100,180,330,600,110,,
565,100,60,420,670,560,40,,
566,60,90,940,1000,430,80,,
567,10,90,1220,1620,510,80,,
568,110,50,1400,1530,520,50,,
569,150,80,1410,1910,440,110,,
570,0,80,2420,2590,200,70,,
571,50,90,5190,5690,150,110,,
572,70,40,7180,8410,90,150,,
573,70,100,7020,7850,130,100,,
574,50,100,8990,9720,230,60,,
575,20,100,7400,8770,150,150,,
576,70,120,2960,3740,80,60,,
